TOTALS: 252 of 252 Registered voters Ballots Cast Turnout Joseph R. Biden w/ Kamala D. Harris Donald J. Trump w/ Michael R. Pence Jo Jorgensen w/ Jeremy Cohen Don Blankenship w/ William Mohr Howie Hawkins w/ Angela Walker Rocky De La Fuente w/ Darcy Richardson Total write-in
Grand Rapids City Ward 3 Precinct 75 1,362 827 60.72% 698 105 15 0 0 0 0
Grand Rapids City Ward 3 Precinct 76 1,642 854 52.01% 767 71 9 0 2 0 0
Grand Rapids City Ward 3 Precinct 77 1,393 1,121 80.47% 779 302 15 0 4 1 0
Grandville City Precinct 1 2,043 1,590 77.83% 771 766 39 0 4 1 0
Grandville City Precinct 2 2,123 1,558 73.39% 698 807 36 2 9 0 0
Grandville City Precinct 3 2,273 1,764 77.61% 671 1,035 31 2 6 1 0
Grandville City Precinct 4 2,091 1,788 85.51% 710 1,029 24 4 3 1 0
Grandville City Precinct 5 2,302 1,821 79.11% 733 1,027 33 4 4 2 0
Grandville City Precinct 6 1,818 1,449 79.7% 609 806 20 0 3 3 0
Grattan Township Precinct 1 1,633 1,262 77.28% 373 855 16 1 5 1 0
Grattan Township Precinct 2 1,737 1,418 81.64% 561 819 18 3 2 2 0
Kentwood City Ward 1 Precinct 1 2,302 1,387 60.25% 783 569 15 2 4 2 0
Kentwood City Ward 1 Precinct 2 3,016 2,186 72.48% 1,195 922 42 4 6 4 0
Kentwood City Ward 1 Precinct 3 1,659 1,233 74.32% 676 518 20 4 2 2 0
Kentwood City Ward 1 Precinct 4 1,520 913 60.07% 516 378 10 0 2 1 0
Kentwood City Ward 1 Precinct 5 1,296 847 65.35% 439 379 16 4 4 0 0
Kentwood City Ward 1 Precinct 6 2,561 1,568 61.23% 825 708 20 1 5 0 0
Kentwood City Ward 1 Precinct 7 2,169 1,464 67.5% 929 507 19 0 2 1 0
Kentwood City Ward 1 Precinct 8 2,525 1,980 78.42% 1,125 795 25 2 8 0 0
Kentwood City Ward 1 Precinct 9 2,372 1,563 65.89% 942 563 30 2 9 0 0
Kentwood City Ward 2 Precinct 10 2,411 1,846 76.57% 1,051 753 21 2 2 3 0
Kentwood City Ward 2 Precinct 11 3,154 2,377 75.36% 1,410 905 31 4 2 2 0
Kentwood City Ward 2 Precinct 12 1,814 1,330 73.32% 842 461 12 2 3 0 0
Kentwood City Ward 2 Precinct 13 2,153 1,483 68.88% 857 596 11 2 6 1 0
Kentwood City Ward 2 Precinct 14 886 636 71.78% 393 225 11 0 1 0 0
Kentwood City Ward 2 Precinct 15 3,164 1,883 59.51% 1,311 524 19 3 7 1 0
Kentwood City Ward 2 Precinct 16 2,805 2,222 79.22% 1,284 879 26 0 5 0 0
Kentwood City Ward 2 Precinct 17 1,801 1,023 56.8% 714 285 8 2 3 0 0
Kentwood City Ward 2 Precinct 18 2,285 1,340 58.64% 916 382 29 1 5 1 0
Lowell Charter Township Precinct 1 2,604 2,080 79.88% 757 1,256 37 5 5 1 0
Lowell Charter Township Precinct 2 2,521 1,869 74.14% 841 964 40 4 4 2 0
Lowell City Precinct 1 1,686 1,223 72.54% 588 589 26 2 7 3 0
Lowell City Precinct 2 1,538 997 64.82% 411 555 18 3 3 0 0
Nelson Township Precinct 1 2,082 1,451 69.69% 417 999 25 3 1 1 0
Nelson Township Precinct 2 1,772 1,363 76.92% 420 904 27 3 1 1 0
Oakfield Township Precinct 1 1,633 1,266 77.53% 453 791 14 1 1 0 0
Oakfield Township Precinct 2 1,968 1,426 72.46% 463 933 23 1 1 0 0
Oakfield Township Precinct 3 1,456 1,094 75.14% 388 680 17 0 2 0 0
Plainfield Charter Township Precinct 1 2,804 2,358 84.09% 998 1,298 31 2 3 2 0
Plainfield Charter Township Precinct 2 2,556 2,023 79.15% 808 1,165 32 2 4 0 0
Plainfield Charter Township Precinct 3 2,208 1,498 67.84% 741 710 35 2 5 3 0
Plainfield Charter Township Precinct 4 2,461 1,814 73.71% 936 828 31 0 6 1 0
Plainfield Charter Township Precinct 5 2,238 1,737 77.61% 820 867 30 5 6 3 0
Plainfield Charter Township Precinct 6 3,310 2,627 79.37% 1,059 1,504 33 7 3 0 0
Plainfield Charter Township Precinct 7 3,016 2,448 81.17% 1,142 1,255 17 1 9 3 0
Plainfield Charter Township Precinct 8 2,948 2,276 77.2% 1,125 1,089 43 2 7 0 0
Plainfield Charter Township Precinct 9 2,676 2,090 78.1% 903 1,140 21 5 3 3 0
Plainfield Charter Township Precinct 10 1,886 1,604 85.05% 686 872 26 1 4 1 0
Plainfield Charter Township Precinct 11 1,836 1,560 84.97% 681 827 25 1 2 0 0
Rockford City Precinct 1 1,984 1,510 76.11% 755 718 20 3 4 2 0
Rockford City Precinct 2 2,718 2,271 83.55% 1,159 1,053 34 2 4 1 0
Solon Township Precinct 1 2,005 1,484 74.01% 469 993 13 3 0 0 0
Solon Township Precinct 2 3,053 2,231 73.08% 666 1,499 46 4 8 2 0
Sparta Township Precinct 1 3,274 2,236 68.3% 896 1,265 39 6 6 3 0
Sparta Township Precinct 2 1,713 1,271 74.2% 362 873 17 3 5 0 0
Sparta Township Precinct 3 2,145 1,567 73.05% 511 1,025 17 2 3 1 0
Spencer Township Precinct 1 2,010 1,540 76.62% 455 1,051 20 0 4 0 0
Spencer Township Precinct 2 1,376 1,054 76.6% 259 779 7 3 3 0 0
Tyrone Township Precinct 1 1,932 1,429 73.96% 365 1,031 17 3 5 0 0
Tyrone Township Precinct 2 1,700 1,129 66.41% 303 793 23 5 3 0 0
Vergennes Township Precinct 1 2,008 1,762 87.75% 619 1,100 25 4 3 3 0
Vergennes Township Precinct 2 1,728 1,458 84.38% 559 858 23 2 5 0 0
Walker City Ward 1 Precinct 1 2,259 1,379 61.04% 800 545 16 2 8 3 0
Walker City Ward 1 Precinct 2 1,835 1,419 77.33% 647 734 24 1 1 3 0
Walker City Ward 1 Precinct 3 2,158 1,612 74.7% 800 777 23 2 6 0 0
Walker City Ward 2 Precinct 4 2,488 1,995 80.18% 834 1,109 35 1 4 0 0
Walker City Ward 2 Precinct 5 2,039 1,661 81.46% 697 917 24 5 6 2 0
Walker City Ward 2 Precinct 6 2,044 1,524 74.56% 662 829 11 3 6 1 0
Walker City Ward 3 Precinct 7 2,149 1,709 79.53% 771 876 28 5 3 0 0
Walker City Ward 3 Precinct 8 2,017 1,672 82.9% 597 1,027 36 3 2 0 0
Walker City Ward 3 Precinct 9 2,154 1,655 76.83% 781 828 30 2 5 1 0
Wyoming City Ward 1 Precinct 1 1,955 1,216 62.2% 706 483 17 1 6 1 0
Wyoming City Ward 1 Precinct 2 1,408 722 51.28% 415 284 17 1 1 0 0
Wyoming City Ward 1 Precinct 3 2,310 1,317 57.01% 773 516 12 4 2 4 0
Wyoming City Ward 1 Precinct 4 2,146 783 36.49% 292 471 13 1 1 0 0
Wyoming City Ward 1 Precinct 5 2,255 1,435 63.64% 827 567 21 3 7 1 0
Wyoming City Ward 1 Precinct 6 1,712 1,006 58.76% 549 433 17 1 2 2 0
Wyoming City Ward 1 Precinct 7 2,094 1,497 71.49% 679 782 15 1 5 2 0
Wyoming City Ward 1 Precinct 8 1,383 787 56.91% 407 346 19 1 4 0 0
Wyoming City Ward 1 Precinct 9 2,506 1,400 55.87% 826 532 28 2 4 1 0
Wyoming City Ward 2 Precinct 10 1,715 984 57.38% 610 342 14 1 5 1 0
Wyoming City Ward 2 Precinct 11 1,589 855 53.81% 592 233 17 0 4 3 0
Wyoming City Ward 2 Precinct 12 1,415 775 54.77% 480 275 11 1 3 0 0
Wyoming City Ward 2 Precinct 13 1,768 1,120 63.35% 570 509 21 5 5 0 0
Wyoming City Ward 2 Precinct 14 1,252 886 70.77% 420 426 26 1 4 0 0
Wyoming City Ward 2 Precinct 15 1,022 686 67.12% 349 317 11 0 4 0 0
Wyoming City Ward 2 Precinct 16 1,420 957 67.39% 465 455 18 1 3 1 0
Wyoming City Ward 2 Precinct 17 2,161 1,116 51.64% 730 353 17 1 5 2 0
Wyoming City Ward 2 Precinct 18 1,286 863 67.11% 457 387 10 2 1 0 0
Wyoming City Ward 2 Precinct 19 2,032 1,379 67.86% 753 582 31 2 6 0 0
Wyoming City Ward 2 Precinct 20 2,106 1,343 63.77% 732 576 18 7 1 2 0
Wyoming City Ward 3 Precinct 21 2,469 1,712 69.34% 823 843 27 2 7 1 0
Wyoming City Ward 3 Precinct 22 1,417 955 67.4% 504 432 11 0 3 1 0
Wyoming City Ward 3 Precinct 23 2,515 1,478 58.77% 866 566 23 4 5 0 0
Wyoming City Ward 3 Precinct 24 2,472 1,600 64.72% 773 779 33 0 2 1 0
Wyoming City Ward 3 Precinct 25 1,783 1,451 81.38% 597 813 24 3 2 0 0
Wyoming City Ward 3 Precinct 26 1,349 971 71.98% 526 419 18 0 2 0 0
Wyoming City Ward 3 Precinct 27 1,310 967 73.82% 461 476 15 0 3 0 0
Wyoming City Ward 3 Precinct 28 2,183 1,784 81.72% 761 981 28 1 2 0 0
Wyoming City Ward 3 Precinct 29 1,839 1,538 83.63% 677 821 27 3 1 0 0
Wyoming City Ward 3 Precinct 30 2,198 1,824 82.98% 698 1,088 21 2 3 0 0
