TOTALS: 252 of 252 Registered voters Ballots Cast Turnout Democratic Party Republican Party Libertarian Party US Taxpayers Party Working Class Party Green Party Natural Law Party
Grand Rapids City Ward 3 Precinct 73 1,174 919 78.28% 331 151 4 2 1 0 1
Grand Rapids City Ward 3 Precinct 74 1,455 1,010 69.42% 440 149 6 2 2 0 1
Grand Rapids City Ward 3 Precinct 75 1,362 827 60.72% 478 61 7 0 5 1 0
Grand Rapids City Ward 3 Precinct 76 1,642 854 52.01% 584 51 5 5 3 4 1
Grand Rapids City Ward 3 Precinct 77 1,393 1,121 80.47% 437 182 2 0 2 1 0
Grandville City Precinct 1 2,043 1,590 77.83% 403 541 13 1 2 1 1
Grandville City Precinct 2 2,123 1,558 73.39% 363 542 6 3 4 3 2
Grandville City Precinct 3 2,273 1,764 77.61% 333 705 6 0 2 3 0
Grandville City Precinct 4 2,091 1,788 85.51% 316 668 6 1 1 1 0
Grandville City Precinct 5 2,302 1,821 79.11% 364 669 10 0 2 0 1
Grandville City Precinct 6 1,818 1,449 79.7% 302 535 5 1 1 2 1
Grattan Township Precinct 1 1,633 1,262 77.28% 155 525 2 0 2 3 0
Grattan Township Precinct 2 1,737 1,418 81.64% 251 502 2 2 1 1 0
Kentwood City Ward 1 Precinct 1 2,302 1,387 60.25% 554 396 7 0 8 2 0
Kentwood City Ward 1 Precinct 2 3,016 2,186 72.48% 728 619 19 3 5 7 2
Kentwood City Ward 1 Precinct 3 1,659 1,233 74.32% 410 338 5 5 1 2 3
Kentwood City Ward 1 Precinct 4 1,520 913 60.07% 336 246 6 4 4 3 1
Kentwood City Ward 1 Precinct 5 1,296 847 65.35% 292 232 5 1 3 1 1
Kentwood City Ward 1 Precinct 6 2,561 1,568 61.23% 567 510 8 2 6 3 1
Kentwood City Ward 1 Precinct 7 2,169 1,464 67.5% 619 340 4 3 4 3 0
Kentwood City Ward 1 Precinct 8 2,525 1,980 78.42% 660 485 6 2 7 2 1
Kentwood City Ward 1 Precinct 9 2,372 1,563 65.89% 678 398 11 3 11 6 1
Kentwood City Ward 2 Precinct 10 2,411 1,846 76.57% 643 493 9 3 6 0 1
Kentwood City Ward 2 Precinct 11 3,154 2,377 75.36% 827 599 8 1 1 2 1
Kentwood City Ward 2 Precinct 12 1,814 1,330 73.32% 567 293 4 3 2 0 0
Kentwood City Ward 2 Precinct 13 2,153 1,483 68.88% 534 468 4 0 2 2 1
Kentwood City Ward 2 Precinct 14 886 636 71.78% 231 158 3 0 2 4 0
Kentwood City Ward 2 Precinct 15 3,164 1,883 59.51% 937 346 15 3 10 3 3
Kentwood City Ward 2 Precinct 16 2,805 2,222 79.22% 667 565 4 0 2 1 3
Kentwood City Ward 2 Precinct 17 1,801 1,023 56.8% 546 197 2 0 3 1 0
Kentwood City Ward 2 Precinct 18 2,285 1,340 58.64% 601 253 12 2 3 2 1
Lowell Charter Township Precinct 1 2,604 2,080 79.88% 336 790 8 1 2 1 0
Lowell Charter Township Precinct 2 2,521 1,869 74.14% 418 593 5 3 6 4 3
Lowell City Precinct 1 1,686 1,223 72.54% 283 341 7 1 3 8 1
Lowell City Precinct 2 1,538 997 64.82% 215 359 8 0 2 0 0
Nelson Township Precinct 1 2,082 1,451 69.69% 241 652 6 0 5 0 1
Nelson Township Precinct 2 1,772 1,363 76.92% 228 555 4 0 2 1 1
Oakfield Township Precinct 1 1,633 1,266 77.53% 229 486 0 1 7 0 0
Oakfield Township Precinct 2 1,968 1,426 72.46% 247 568 12 0 4 2 1
Oakfield Township Precinct 3 1,456 1,094 75.14% 208 446 6 0 0 0 0
Plainfield Charter Township Precinct 1 2,804 2,358 84.09% 456 766 1 0 4 3 0
Plainfield Charter Township Precinct 2 2,556 2,023 79.15% 374 707 11 0 6 0 0
Plainfield Charter Township Precinct 3 2,208 1,498 67.84% 417 427 5 1 4 6 1
Plainfield Charter Township Precinct 4 2,461 1,814 73.71% 459 480 5 2 2 6 0
Plainfield Charter Township Precinct 5 2,238 1,737 77.61% 381 525 7 1 7 3 1
Plainfield Charter Township Precinct 6 3,310 2,627 79.37% 458 949 16 1 3 2 0
Plainfield Charter Township Precinct 7 3,016 2,448 81.17% 513 795 4 1 1 3 0
Plainfield Charter Township Precinct 8 2,948 2,276 77.2% 492 644 12 2 2 5 1
Plainfield Charter Township Precinct 9 2,676 2,090 78.1% 442 712 7 3 4 1 0
Plainfield Charter Township Precinct 10 1,886 1,604 85.05% 314 530 5 1 0 2 1
Plainfield Charter Township Precinct 11 1,836 1,560 84.97% 258 476 5 0 0 1 0
Rockford City Precinct 1 1,984 1,510 76.11% 367 467 7 1 2 2 0
Rockford City Precinct 2 2,718 2,271 83.55% 468 638 7 0 1 1 0
Solon Township Precinct 1 2,005 1,484 74.01% 234 637 4 3 5 1 1
Solon Township Precinct 2 3,053 2,231 73.08% 325 1,008 12 2 8 3 1
Sparta Township Precinct 1 3,274 2,236 68.3% 481 828 7 2 6 4 1
Sparta Township Precinct 2 1,713 1,271 74.2% 204 569 6 2 6 1 1
Sparta Township Precinct 3 2,145 1,567 73.05% 256 632 12 2 3 2 1
Spencer Township Precinct 1 2,010 1,540 76.62% 245 688 4 0 10 0 1
Spencer Township Precinct 2 1,376 1,054 76.6% 141 534 4 0 5 0 1
Tyrone Township Precinct 1 1,932 1,429 73.96% 191 681 7 1 3 1 0
Tyrone Township Precinct 2 1,700 1,129 66.41% 164 502 5 3 4 3 1
Vergennes Township Precinct 1 2,008 1,762 87.75% 292 681 6 2 1 1 0
Vergennes Township Precinct 2 1,728 1,458 84.38% 256 567 4 1 0 1 0
Walker City Ward 1 Precinct 1 2,259 1,379 61.04% 474 330 7 3 7 5 0
Walker City Ward 1 Precinct 2 1,835 1,419 77.33% 342 454 5 0 2 1 0
Walker City Ward 1 Precinct 3 2,158 1,612 74.7% 425 491 7 0 3 2 0
Walker City Ward 2 Precinct 4 2,488 1,995 80.18% 387 711 10 0 1 2 0
Walker City Ward 2 Precinct 5 2,039 1,661 81.46% 350 531 7 1 1 2 0
Walker City Ward 2 Precinct 6 2,044 1,524 74.56% 340 502 2 2 3 5 2
Walker City Ward 3 Precinct 7 2,149 1,709 79.53% 403 532 10 0 2 1 1
Walker City Ward 3 Precinct 8 2,017 1,672 82.9% 302 715 7 1 2 1 0
Walker City Ward 3 Precinct 9 2,154 1,655 76.83% 370 571 8 1 2 0 0
Wyoming City Ward 1 Precinct 1 1,955 1,216 62.2% 487 319 8 2 4 1 2
Wyoming City Ward 1 Precinct 2 1,408 722 51.28% 295 197 7 0 7 1 0
Wyoming City Ward 1 Precinct 3 2,310 1,317 57.01% 541 362 9 4 11 1 2
Wyoming City Ward 1 Precinct 4 2,146 783 36.49% 190 309 2 1 1 0 1
Wyoming City Ward 1 Precinct 5 2,255 1,435 63.64% 518 370 4 0 6 2 2
Wyoming City Ward 1 Precinct 6 1,712 1,006 58.76% 354 277 3 3 3 4 2
Wyoming City Ward 1 Precinct 7 2,094 1,497 71.49% 369 510 6 4 2 1 3
Wyoming City Ward 1 Precinct 8 1,383 787 56.91% 295 237 7 0 6 2 2
Wyoming City Ward 1 Precinct 9 2,506 1,400 55.87% 583 353 14 3 5 2 3
Wyoming City Ward 2 Precinct 10 1,715 984 57.38% 451 247 6 1 2 3 1
Wyoming City Ward 2 Precinct 11 1,589 855 53.81% 440 151 6 0 2 3 3
Wyoming City Ward 2 Precinct 12 1,415 775 54.77% 346 182 4 1 2 4 1
Wyoming City Ward 2 Precinct 13 1,768 1,120 63.35% 380 373 10 2 5 3 2
