precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
Charter Township of Redford Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 6,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 7,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 8,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 9,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 10,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 11,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 12,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 13,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 14,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 15,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 16,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 17,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 18,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 19,0,0,0,0,0,0,0,0,0,0
Charter Township of Redford Precinct 20,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 1,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 2,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 3,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 6,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 7,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 8,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 9,0,0,0,0,0,0,0,0,0,0
Charter Township of Van Buren Precinct 10,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 1,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 2,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 3,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 4,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 5,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 7,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 8,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 9,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 10,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 11,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 12,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 13,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 14,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 15,0,0,0,0,0,0,0,0,0,0
City of Allen Park Precinct 16,0,0,0,0,0,0,0,0,0,0
City of Belleville Precinct 1,0,0,0,0,0,0,0,0,0,0
City of Belleville Precinct 2,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 1,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 2,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 3,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 4,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 5,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 6,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 7,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 8,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 9,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 10,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 11,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 12,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 13,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 14,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 15,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 16,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 17,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 18,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 19,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 20,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 21,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 22,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 23,0,0,0,0,0,0,0,0,0,0
