TOTALS: 85 of 85	Registered voters	Ballots Cast	Turnout	Democratic Party	Republican Party	Libertarian Party	U.S. Taxpayers Party	Working Class Party	Green Party	Natural Law Party
Thomas Township Precinct 3	1,872	1,372	73.29%	242	442	10	1	2	0	1
Thomas Township Precinct 4	1,180	945	80.08%	132	317	3	0	0	1	1
Thomas Township Precinct 5	1,470	1,094	74.42%	225	285	5	2	2	1	0
Thomas Township Precinct 6	1,375	995	72.36%	201	313	1	2	2	1	0
Thomas Township Precinct 7	1,319	1,070	81.12%	182	314	5	0	2	1	1
Tittabawassee Township Precinct 1	2,212	1,741	78.71%	275	466	6	1	4	1	2
Tittabawassee Township Precinct 2	1,753	1,425	81.29%	220	412	3	1	2	2	1
Tittabawassee Township Precinct 3	1,298	996	76.73%	147	329	3	0	1	0	1
Tittabawassee Township Precinct 4	1,912	1,530	80.02%	260	442	5	0	5	0	0
Zilwaukee Township Precinct 1	54	43	79.63%	6	17	0	0	0	0	0
